,id,Time_spent_Alone,Stage_fear,Social_event_attendance,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality
54,54,4.0,Yes,3.0,1.0,Yes,8.0,1.0,Introvert
55,55,9.0,Yes,0.0,4.0,Yes,2.0,1.0,Introvert
56,56,3.0,No,9.0,7.0,No,12.0,3.0,Extrovert
57,57,4.0,No,6.0,3.0,No,8.0,7.0,Extrovert
58,58,8.0,Yes,0.0,2.0,Yes,5.0,5.0,Introvert
59,59,2.0,No,8.0,6.0,No,14.0,9.0,Extrovert
60,60,9.0,Yes,4.0,0.0,Yes,2.0,0.0,Introvert
61,61,0.0,No,9.0,3.0,No,4.0,5.0,Extrovert
62,62,2.0,No,6.0,6.0,No,13.0,4.0,Extrovert
63,63,8.0,Yes,4.0,2.0,Yes,8.0,0.0,Extrovert
64,64,9.0,No,2.0,2.0,Yes,1.0,0.0,Introvert
65,65,4.0,No,0.0,2.0,Yes,0.0,2.0,Introvert
66,66,5.0,No,8.0,4.0,No,8.0,10.0,Extrovert
67,67,3.0,No,5.0,7.0,No,6.0,9.0,Extrovert
68,68,7.0,Yes,0.0,2.0,No,3.0,0.0,Introvert
69,69,4.0,Yes,1.0,4.0,Yes,0.0,2.0,Introvert
70,70,3.0,No,4.0,3.0,No,6.0,10.0,Extrovert
71,71,0.0,No,7.0,4.0,No,15.0,9.0,Extrovert
72,72,2.0,No,8.0,6.0,No,10.0,8.0,Extrovert
73,73,1.0,No,7.0,5.0,No,12.0,4.0,Extrovert
74,74,2.0,No,6.0,6.0,No,5.0,3.0,Extrovert
75,75,2.0,No,7.0,5.0,No,10.0,8.0,Extrovert
76,76,10.0,Yes,0.0,2.0,Yes,1.0,1.0,Introvert
77,77,5.0,Yes,2.0,3.0,No,1.0,3.0,Introvert
78,78,0.0,No,5.0,4.0,No,6.0,7.0,Extrovert
79,79,1.0,No,4.0,4.0,No,12.0,8.0,Extrovert
80,80,2.0,No,9.0,4.0,No,6.0,5.0,Extrovert
81,81,4.0,No,8.0,5.0,No,8.0,6.0,Extrovert
82,82,0.0,No,6.0,7.0,No,14.0,3.0,Extrovert
83,83,9.0,Yes,5.0,3.0,Yes,4.0,0.0,Introvert
84,84,3.0,No,7.0,6.0,No,4.0,6.0,Extrovert
85,85,0.0,No,6.0,4.0,No,6.0,6.0,Extrovert
86,86,1.0,No,8.0,3.0,No,10.0,6.0,Extrovert
87,87,11.0,No,0.0,2.0,Yes,1.0,2.0,Introvert
88,88,3.0,No,6.0,4.0,No,8.0,5.0,Extrovert
89,89,2.0,No,5.0,5.0,No,5.0,3.0,Extrovert
90,90,0.0,No,5.0,6.0,No,8.0,9.0,Extrovert
91,91,3.0,No,3.0,7.0,No,4.0,9.0,Extrovert
92,92,10.0,No,1.0,2.0,Yes,1.0,0.0,Introvert
93,93,1.0,No,9.0,7.0,No,8.0,6.0,Extrovert
94,94,2.0,No,5.0,6.0,No,7.0,8.0,Extrovert
95,95,0.0,No,8.0,6.0,No,6.0,5.0,Extrovert
96,96,9.0,No,1.0,3.0,Yes,4.0,3.0,Introvert
97,97,4.0,Yes,3.0,0.0,Yes,0.0,1.0,Introvert
98,98,0.0,No,6.0,5.0,No,11.0,7.0,Extrovert
99,99,2.0,No,6.0,3.0,No,8.0,7.0,Extrovert
100,100,1.0,No,6.0,5.0,No,7.0,3.0,Extrovert
101,101,2.0,No,10.0,6.0,No,10.0,7.0,Extrovert
102,102,6.0,Yes,2.0,0.0,Yes,2.0,0.0,Extrovert
103,103,0.0,No,6.0,6.0,No,11.0,6.0,Extrovert
104,104,2.0,No,6.0,6.0,No,8.0,8.0,Extrovert
105,105,8.0,Yes,0.0,2.0,No,1.0,0.0,Introvert
106,106,2.0,No,10.0,4.0,No,10.0,3.0,Extrovert
107,107,2.0,No,4.0,4.0,No,5.0,6.0,Extrovert
108,108,9.0,No,6.0,6.0,No,15.0,4.0,Extrovert
109,109,2.0,No,6.0,5.0,No,6.0,6.0,Extrovert
110,110,0.0,No,9.0,4.0,No,14.0,6.0,Extrovert
111,111,3.0,No,4.0,3.0,No,14.0,7.0,Extrovert
112,112,3.0,No,5.0,3.0,No,7.0,9.0,Extrovert
113,113,0.0,No,10.0,4.0,No,9.0,8.0,Extrovert
114,114,5.0,Yes,0.0,3.0,Yes,5.0,2.0,Introvert
115,115,2.0,No,4.0,4.0,No,12.0,4.0,Extrovert
116,116,1.0,No,4.0,5.0,No,8.0,6.0,Extrovert
117,117,0.0,No,6.0,5.0,No,13.0,8.0,Extrovert
118,118,3.0,No,4.0,6.0,No,12.0,7.0,Extrovert
119,119,10.0,Yes,5.0,2.0,Yes,4.0,0.0,Introvert
120,120,1.0,No,9.0,3.0,No,9.0,5.0,Extrovert
121,121,9.0,Yes,3.0,4.0,Yes,0.0,1.0,Introvert
122,122,6.0,Yes,1.0,0.0,Yes,0.0,1.0,Introvert
123,123,7.0,Yes,3.0,1.0,Yes,5.0,5.0,Introvert
124,124,4.0,No,7.0,6.0,No,11.0,3.0,Introvert
125,125,1.0,No,6.0,3.0,No,9.0,9.0,Extrovert
126,126,3.0,No,4.0,7.0,No,7.0,3.0,Extrovert
127,127,1.0,No,9.0,4.0,No,6.0,7.0,Extrovert
128,128,1.0,No,4.0,6.0,No,8.0,8.0,Extrovert
129,129,2.0,No,4.0,4.0,No,15.0,3.0,Extrovert
130,130,10.0,Yes,0.0,4.0,Yes,0.0,0.0,Introvert
131,131,2.0,No,9.0,4.0,No,15.0,8.0,Extrovert
132,132,2.0,No,8.0,5.0,No,15.0,7.0,Extrovert
133,133,0.0,No,5.0,7.0,No,7.0,9.0,Extrovert
134,134,3.0,No,4.0,6.0,No,13.0,6.0,Extrovert
135,135,3.0,No,9.0,6.0,No,11.0,9.0,Extrovert
136,136,1.0,No,9.0,3.0,No,12.0,9.0,Extrovert
137,137,0.0,No,3.0,3.0,No,4.0,8.0,Extrovert
138,138,3.0,No,8.0,7.0,No,8.0,3.0,Extrovert
139,139,11.0,No,2.0,2.0,Yes,2.0,2.0,Extrovert
140,140,4.0,No,7.0,6.0,No,11.0,6.0,Extrovert
141,141,2.0,No,8.0,6.0,No,11.0,6.0,Extrovert
142,142,1.0,No,7.0,4.0,No,12.0,4.0,Extrovert
143,143,1.0,No,3.0,6.0,No,12.0,9.0,Extrovert
144,144,3.0,No,4.0,4.0,No,9.0,9.0,Extrovert
145,145,1.0,No,4.0,5.0,No,8.0,5.0,Extrovert
146,146,1.0,No,7.0,4.0,No,14.0,5.0,Extrovert
147,147,7.0,Yes,3.0,1.0,Yes,3.0,5.0,Introvert
148,148,1.0,No,9.0,3.0,No,11.0,7.0,Extrovert
149,149,0.0,No,4.0,6.0,No,8.0,3.0,Introvert
150,150,6.0,Yes,5.0,1.0,Yes,3.0,1.0,Introvert
151,151,7.0,No,0.0,2.0,Yes,0.0,2.0,Introvert
152,152,2.0,Yes,1.0,2.0,Yes,3.0,3.0,Introvert
153,153,0.0,No,6.0,3.0,No,10.0,3.0,Extrovert
154,154,2.0,No,4.0,7.0,No,5.0,6.0,Extrovert
155,155,10.0,Yes,0.0,1.0,Yes,8.0,2.0,Introvert
156,156,10.0,Yes,0.0,0.0,Yes,4.0,2.0,Introvert
157,157,3.0,No,5.0,5.0,No,7.0,6.0,Extrovert
158,158,11.0,Yes,0.0,2.0,No,4.0,5.0,Introvert
159,159,10.0,No,3.0,0.0,Yes,2.0,0.0,Introvert
160,160,0.0,No,9.0,5.0,No,15.0,5.0,Extrovert
161,161,2.0,No,6.0,5.0,No,10.0,3.0,Extrovert
162,162,0.0,No,7.0,7.0,No,15.0,3.0,Extrovert
163,163,4.0,Yes,2.0,0.0,Yes,0.0,0.0,Introvert
164,164,2.0,No,9.0,3.0,No,14.0,3.0,Extrovert
165,165,6.0,Yes,5.0,0.0,Yes,8.0,1.0,Introvert
166,166,1.0,No,7.0,3.0,No,8.0,8.0,Extrovert
167,167,3.0,No,6.0,4.0,No,13.0,4.0,Extrovert
168,168,7.0,Yes,3.0,4.0,No,4.0,2.0,Introvert
169,169,7.0,Yes,1.0,1.0,Yes,0.0,1.0,Introvert
170,170,1.0,No,5.0,3.0,No,12.0,6.0,Extrovert
171,171,2.0,No,7.0,4.0,No,11.0,5.0,Extrovert
172,172,2.0,No,8.0,6.0,No,11.0,3.0,Extrovert
173,173,2.0,No,9.0,6.0,No,12.0,7.0,Extrovert
174,174,3.0,No,10.0,3.0,No,4.0,8.0,Extrovert
175,175,2.0,No,6.0,5.0,No,12.0,7.0,Extrovert
176,176,2.0,No,7.0,3.0,No,8.0,5.0,Extrovert
177,177,4.0,No,8.0,4.0,No,11.0,7.0,Extrovert
178,178,3.0,No,3.0,6.0,No,4.0,8.0,Extrovert
179,179,10.0,Yes,0.0,2.0,No,4.0,0.0,Introvert
180,180,8.0,Yes,3.0,4.0,Yes,5.0,1.0,Introvert
181,181,1.0,No,9.0,3.0,No,8.0,4.0,Extrovert
182,182,11.0,Yes,4.0,1.0,Yes,1.0,0.0,Introvert
183,183,2.0,No,6.0,7.0,No,14.0,4.0,Extrovert
184,184,1.0,No,7.0,4.0,No,5.0,8.0,Extrovert
185,185,3.0,No,4.0,4.0,No,10.0,5.0,Extrovert
186,186,1.0,No,7.0,4.0,No,6.0,5.0,Extrovert
187,187,10.0,Yes,2.0,3.0,Yes,3.0,1.0,Introvert
188,188,0.0,No,6.0,4.0,No,15.0,8.0,Extrovert
189,189,6.0,Yes,3.0,4.0,Yes,4.0,1.0,Introvert
190,190,6.0,No,3.0,2.0,Yes,5.0,0.0,Introvert
191,191,0.0,No,9.0,4.0,No,12.0,4.0,Extrovert
192,192,2.0,No,5.0,5.0,No,13.0,3.0,Extrovert
193,193,1.0,No,4.0,4.0,No,15.0,7.0,Extrovert
194,194,2.0,No,9.0,6.0,No,7.0,9.0,Extrovert
195,195,0.0,No,7.0,4.0,No,12.0,4.0,Extrovert
196,196,3.0,No,4.0,5.0,No,5.0,5.0,Extrovert
197,197,1.0,No,4.0,6.0,No,12.0,5.0,Extrovert
198,198,2.0,No,9.0,3.0,No,10.0,9.0,Extrovert
199,199,3.0,No,8.0,4.0,No,8.0,3.0,Extrovert
200,200,1.0,No,4.0,4.0,No,6.0,5.0,Extrovert
201,201,0.0,No,7.0,4.0,No,8.0,6.0,Extrovert
202,202,2.0,No,5.0,5.0,No,13.0,9.0,Extrovert
203,203,1.0,No,3.0,7.0,No,10.0,8.0,Extrovert
204,204,0.0,No,6.0,5.0,No,14.0,3.0,Extrovert
205,205,7.0,Yes,3.0,1.0,Yes,8.0,3.0,Introvert
206,206,1.0,No,8.0,3.0,No,10.0,9.0,Extrovert
207,207,1.0,No,9.0,6.0,No,8.0,10.0,Extrovert
208,208,0.0,No,4.0,4.0,No,10.0,4.0,Extrovert
209,209,0.0,No,8.0,3.0,No,15.0,9.0,Extrovert
210,210,6.0,Yes,0.0,2.0,Yes,0.0,1.0,Introvert
211,211,10.0,Yes,3.0,1.0,Yes,8.0,1.0,Introvert
212,212,1.0,No,8.0,3.0,No,7.0,5.0,Extrovert
213,213,8.0,No,2.0,1.0,Yes,4.0,1.0,Introvert
214,214,4.0,Yes,2.0,0.0,No,0.0,0.0,Introvert
215,215,1.0,No,6.0,4.0,No,8.0,9.0,Extrovert
216,216,5.0,Yes,1.0,2.0,No,2.0,1.0,Introvert
217,217,2.0,No,8.0,4.0,No,15.0,4.0,Extrovert
218,218,3.0,No,9.0,6.0,No,9.0,6.0,Extrovert
219,219,2.0,No,9.0,7.0,No,6.0,8.0,Extrovert
220,220,9.0,No,1.0,0.0,Yes,0.0,0.0,Introvert
221,221,1.0,No,8.0,5.0,No,8.0,8.0,Extrovert
222,222,0.0,No,10.0,4.0,No,11.0,4.0,Extrovert
223,223,3.0,No,5.0,4.0,No,8.0,6.0,Extrovert
224,224,3.0,No,8.0,6.0,No,13.0,5.0,Extrovert
225,225,2.0,No,5.0,4.0,No,7.0,6.0,Extrovert
226,226,4.0,No,7.0,4.0,No,6.0,7.0,Extrovert
227,227,3.0,No,9.0,7.0,No,9.0,4.0,Extrovert
228,228,1.0,No,8.0,4.0,No,10.0,3.0,Extrovert
229,229,0.0,No,7.0,4.0,No,8.0,9.0,Extrovert
230,230,3.0,No,5.0,4.0,No,11.0,9.0,Extrovert
231,231,0.0,No,5.0,3.0,No,8.0,3.0,Extrovert
232,232,11.0,Yes,1.0,0.0,Yes,4.0,2.0,Introvert
233,233,2.0,No,8.0,4.0,No,5.0,9.0,Extrovert
234,234,11.0,Yes,2.0,1.0,Yes,8.0,5.0,Introvert
235,235,2.0,No,4.0,3.0,No,5.0,10.0,Extrovert
236,236,9.0,Yes,1.0,0.0,No,3.0,0.0,Introvert
237,237,0.0,No,4.0,6.0,No,9.0,6.0,Extrovert
238,238,11.0,Yes,2.0,2.0,Yes,1.0,5.0,Introvert
239,239,11.0,Yes,3.0,1.0,Yes,4.0,3.0,Introvert
240,240,0.0,No,5.0,5.0,No,13.0,3.0,Extrovert
241,241,2.0,Yes,1.0,2.0,Yes,2.0,1.0,Introvert
242,242,3.0,No,5.0,5.0,No,12.0,10.0,Extrovert
243,243,3.0,No,6.0,7.0,No,10.0,6.0,Extrovert
244,244,4.0,No,4.0,5.0,No,9.0,4.0,Extrovert
245,245,10.0,No,3.0,5.0,No,5.0,4.0,Introvert
246,246,3.0,No,5.0,4.0,No,15.0,6.0,Extrovert
247,247,2.0,No,9.0,6.0,No,11.0,5.0,Extrovert
248,248,7.0,No,4.0,4.0,No,7.0,7.0,Extrovert
249,249,10.0,Yes,1.0,2.0,No,2.0,2.0,Introvert
250,250,1.0,No,9.0,4.0,No,12.0,6.0,Extrovert
251,251,1.0,No,7.0,6.0,No,5.0,3.0,Extrovert
252,252,10.0,No,0.0,1.0,Yes,2.0,0.0,Introvert
253,253,1.0,No,10.0,3.0,No,14.0,8.0,Extrovert
254,254,2.0,No,8.0,4.0,No,11.0,7.0,Extrovert
255,255,1.0,No,8.0,3.0,No,5.0,7.0,Extrovert
256,256,0.0,No,9.0,4.0,No,13.0,6.0,Extrovert
257,257,2.0,No,5.0,6.0,No,12.0,4.0,Extrovert
258,258,2.0,No,6.0,6.0,No,13.0,5.0,Extrovert
259,259,10.0,Yes,2.0,1.0,Yes,1.0,3.0,Introvert
260,260,2.0,Yes,0.0,0.0,Yes,8.0,1.0,Introvert
261,261,3.0,No,6.0,4.0,No,9.0,8.0,Extrovert
262,262,7.0,Yes,5.0,4.0,Yes,4.0,2.0,Introvert
263,263,6.0,Yes,5.0,0.0,Yes,8.0,2.0,Introvert
264,264,2.0,No,9.0,6.0,No,4.0,3.0,Extrovert
265,265,10.0,Yes,0.0,2.0,Yes,0.0,3.0,Introvert
266,266,2.0,No,8.0,3.0,No,14.0,7.0,Extrovert
267,267,8.0,Yes,3.0,3.0,Yes,3.0,2.0,Introvert
268,268,9.0,Yes,5.0,2.0,Yes,2.0,2.0,Introvert
269,269,1.0,No,9.0,4.0,No,11.0,5.0,Extrovert
270,270,0.0,No,7.0,7.0,No,10.0,7.0,Extrovert
271,271,4.0,No,0.0,0.0,Yes,5.0,3.0,Introvert
272,272,4.0,No,5.0,3.0,No,12.0,3.0,Introvert
273,273,1.0,No,5.0,3.0,No,4.0,7.0,Extrovert
274,274,3.0,No,5.0,6.0,No,7.0,9.0,Extrovert
275,275,3.0,No,6.0,7.0,No,6.0,7.0,Extrovert
276,276,6.0,Yes,0.0,0.0,No,1.0,0.0,Introvert
277,277,4.0,Yes,0.0,0.0,Yes,8.0,0.0,Introvert
278,278,3.0,No,8.0,3.0,No,14.0,6.0,Extrovert
279,279,8.0,Yes,4.0,1.0,Yes,3.0,0.0,Introvert
280,280,3.0,No,9.0,7.0,No,14.0,3.0,Extrovert
281,281,2.0,No,6.0,5.0,No,9.0,3.0,Extrovert
282,282,2.0,No,6.0,5.0,No,8.0,5.0,Extrovert
283,283,8.0,No,3.0,0.0,Yes,5.0,1.0,Introvert
284,284,7.0,Yes,3.0,4.0,Yes,4.0,5.0,Introvert
285,285,2.0,No,9.0,5.0,No,12.0,6.0,Introvert
286,286,1.0,No,7.0,5.0,No,8.0,6.0,Extrovert
287,287,3.0,No,6.0,7.0,No,11.0,3.0,Extrovert
288,288,10.0,Yes,3.0,2.0,No,5.0,2.0,Introvert
289,289,5.0,Yes,5.0,2.0,Yes,1.0,3.0,Introvert
290,290,1.0,No,5.0,6.0,No,6.0,4.0,Extrovert
291,291,0.0,No,5.0,4.0,No,6.0,4.0,Extrovert
292,292,0.0,No,6.0,6.0,No,12.0,3.0,Extrovert
293,293,10.0,Yes,3.0,0.0,No,5.0,0.0,Introvert
294,294,10.0,No,3.0,1.0,Yes,2.0,1.0,Introvert
295,295,10.0,Yes,1.0,3.0,Yes,4.0,3.0,Introvert
296,296,3.0,No,5.0,7.0,No,14.0,3.0,Extrovert
297,297,1.0,No,3.0,6.0,No,10.0,5.0,Extrovert
298,298,4.0,No,8.0,3.0,No,12.0,5.0,Extrovert
299,299,2.0,No,9.0,6.0,No,13.0,10.0,Extrovert
300,300,2.0,No,4.0,6.0,No,9.0,7.0,Extrovert
301,301,3.0,No,7.0,7.0,No,14.0,10.0,Extrovert
302,302,2.0,No,6.0,4.0,No,11.0,5.0,Extrovert
303,303,2.0,No,8.0,5.0,No,15.0,9.0,Extrovert
304,304,5.0,Yes,2.0,1.0,Yes,2.0,1.0,Introvert
305,305,1.0,No,4.0,4.0,No,12.0,5.0,Extrovert
306,306,0.0,No,5.0,3.0,No,12.0,4.0,Extrovert
307,307,9.0,Yes,5.0,4.0,Yes,5.0,2.0,Introvert
308,308,1.0,No,5.0,3.0,No,10.0,6.0,Extrovert
309,309,11.0,Yes,2.0,2.0,Yes,0.0,0.0,Introvert
310,310,1.0,No,5.0,5.0,No,13.0,8.0,Extrovert
311,311,0.0,No,4.0,3.0,No,9.0,3.0,Extrovert
312,312,9.0,Yes,1.0,1.0,No,5.0,1.0,Introvert
313,313,6.0,Yes,0.0,0.0,Yes,0.0,5.0,Introvert
314,314,3.0,No,10.0,7.0,No,13.0,7.0,Extrovert
315,315,2.0,No,6.0,3.0,No,10.0,4.0,Extrovert
316,316,2.0,No,6.0,4.0,No,13.0,7.0,Extrovert
317,317,6.0,Yes,0.0,3.0,Yes,3.0,2.0,Introvert
318,318,0.0,No,5.0,7.0,No,13.0,7.0,Extrovert
319,319,7.0,Yes,1.0,4.0,Yes,4.0,0.0,Introvert
320,320,2.0,Yes,2.0,1.0,Yes,3.0,0.0,Introvert
321,321,2.0,No,2.0,2.0,Yes,2.0,2.0,Introvert
322,322,10.0,No,3.0,0.0,Yes,4.0,3.0,Introvert
323,323,7.0,Yes,1.0,4.0,Yes,4.0,2.0,Introvert
324,324,0.0,No,6.0,7.0,No,4.0,8.0,Extrovert
325,325,2.0,No,9.0,6.0,No,14.0,9.0,Extrovert
326,326,3.0,No,3.0,3.0,No,6.0,5.0,Extrovert
327,327,0.0,No,4.0,6.0,No,12.0,8.0,Extrovert
328,328,2.0,No,5.0,4.0,No,4.0,5.0,Extrovert
329,329,2.0,No,5.0,3.0,No,10.0,5.0,Extrovert
330,330,11.0,Yes,2.0,4.0,Yes,4.0,2.0,Introvert
331,331,2.0,No,7.0,3.0,No,8.0,8.0,Extrovert
332,332,2.0,No,4.0,3.0,No,8.0,9.0,Extrovert
333,333,0.0,No,6.0,3.0,No,11.0,7.0,Extrovert
334,334,3.0,No,5.0,5.0,No,7.0,7.0,Extrovert
335,335,3.0,No,9.0,5.0,No,8.0,3.0,Extrovert
336,336,2.0,No,5.0,6.0,No,9.0,8.0,Extrovert
337,337,0.0,No,9.0,7.0,No,9.0,7.0,Extrovert
338,338,2.0,No,9.0,6.0,No,13.0,8.0,Introvert
339,339,1.0,No,5.0,6.0,No,4.0,5.0,Extrovert
340,340,0.0,No,8.0,4.0,No,9.0,5.0,Extrovert
341,341,2.0,No,9.0,3.0,No,5.0,7.0,Extrovert
342,342,1.0,No,9.0,4.0,No,5.0,3.0,Extrovert
343,343,2.0,No,5.0,3.0,No,11.0,5.0,Extrovert
344,344,1.0,No,5.0,4.0,No,11.0,5.0,Extrovert
345,345,0.0,No,5.0,7.0,No,14.0,7.0,Extrovert
346,346,10.0,Yes,5.0,4.0,Yes,5.0,1.0,Introvert
347,347,3.0,No,9.0,6.0,No,14.0,8.0,Extrovert
348,348,1.0,No,6.0,6.0,No,14.0,9.0,Extrovert
349,349,1.0,No,5.0,3.0,No,6.0,4.0,Extrovert
350,350,2.0,No,5.0,5.0,No,14.0,3.0,Extrovert
351,351,0.0,No,8.0,5.0,No,14.0,10.0,Extrovert
352,352,4.0,No,10.0,4.0,No,7.0,7.0,Extrovert
353,353,3.0,No,6.0,7.0,No,9.0,4.0,Extrovert
354,354,2.0,No,10.0,4.0,No,12.0,5.0,Extrovert
355,355,2.0,No,5.0,3.0,No,8.0,3.0,Extrovert
356,356,2.0,No,7.0,3.0,No,15.0,7.0,Extrovert
357,357,4.0,No,5.0,5.0,No,13.0,8.0,Extrovert
358,358,2.0,No,8.0,4.0,No,15.0,6.0,Extrovert
359,359,3.0,No,8.0,6.0,No,8.0,6.0,Extrovert
360,360,4.0,Yes,3.0,2.0,Yes,2.0,3.0,Introvert
361,361,2.0,No,6.0,5.0,No,3.0,9.0,Extrovert
362,362,2.0,No,4.0,3.0,No,4.0,3.0,Extrovert
363,363,4.0,Yes,3.0,1.0,Yes,8.0,0.0,Introvert
364,364,0.0,No,7.0,7.0,No,4.0,3.0,Extrovert
365,365,2.0,No,8.0,5.0,No,13.0,3.0,Extrovert
366,366,1.0,No,4.0,4.0,No,5.0,9.0,Extrovert
367,367,2.0,No,5.0,5.0,No,10.0,5.0,Extrovert
368,368,4.0,Yes,3.0,2.0,No,1.0,0.0,Introvert
369,369,2.0,No,5.0,6.0,No,11.0,6.0,Extrovert
370,370,5.0,Yes,2.0,2.0,No,8.0,2.0,Introvert
371,371,1.0,No,3.0,5.0,No,6.0,6.0,Extrovert
372,372,4.0,Yes,3.0,3.0,Yes,4.0,3.0,Introvert
373,373,8.0,Yes,1.0,4.0,Yes,5.0,1.0,Introvert
374,374,2.0,No,5.0,5.0,No,3.0,9.0,Extrovert
375,375,11.0,Yes,0.0,2.0,Yes,8.0,0.0,Introvert
376,376,2.0,No,3.0,4.0,No,6.0,7.0,Extrovert
377,377,2.0,No,4.0,4.0,No,5.0,9.0,Extrovert
378,378,0.0,No,5.0,4.0,No,10.0,5.0,Extrovert
379,379,2.0,No,9.0,4.0,No,10.0,9.0,Extrovert
380,380,7.0,Yes,0.0,1.0,No,3.0,5.0,Introvert
381,381,2.0,No,6.0,3.0,No,7.0,8.0,Extrovert
382,382,0.0,No,9.0,7.0,No,7.0,5.0,Extrovert
383,383,2.0,No,8.0,7.0,No,10.0,6.0,Extrovert
384,384,9.0,Yes,0.0,0.0,Yes,10.0,2.0,Introvert
385,385,2.0,No,5.0,6.0,No,11.0,6.0,Extrovert
386,386,10.0,Yes,3.0,1.0,Yes,5.0,5.0,Introvert
387,387,1.0,No,4.0,4.0,No,10.0,9.0,Extrovert
388,388,8.0,Yes,5.0,2.0,Yes,2.0,2.0,Introvert
389,389,0.0,No,5.0,7.0,No,10.0,5.0,Extrovert
390,390,0.0,No,5.0,5.0,No,7.0,7.0,Extrovert
391,391,3.0,No,7.0,6.0,No,14.0,7.0,Extrovert
392,392,2.0,Yes,1.0,1.0,Yes,2.0,2.0,Introvert
393,393,3.0,No,5.0,5.0,No,8.0,9.0,Extrovert
394,394,0.0,No,7.0,3.0,No,15.0,4.0,Extrovert
395,395,0.0,No,6.0,5.0,No,7.0,3.0,Extrovert
396,396,6.0,Yes,5.0,2.0,Yes,4.0,1.0,Introvert
397,397,3.0,No,3.0,5.0,No,5.0,5.0,Extrovert
398,398,4.0,Yes,2.0,2.0,Yes,7.0,2.0,Extrovert
399,399,1.0,No,5.0,5.0,No,12.0,5.0,Extrovert
